"Total_Value","Year","Month","Day","Hour","Ventilation","Sokets_Plug","Lighting","Other_Electricity","Cooling","Heating"
60.501,2021,6,13,8,7,15.875,5.688,4.063,21.875,6
129.251,2021,6,5,3,57,10.438,6.125,28.063,21.875,5.75
286.501,2021,6,9,16,77.25,32.813,36.313,102.75,27.875,9.5
131,2021,5,22,7,4.75,12.625,6.875,48.125,10.625,48
131.251,2021,5,30,17,7.125,18.188,5.813,70.75,23.625,5.75
328.688,2021,6,17,18,84.875,22.75,14.938,0,200.125,6
205.001,2021,5,24,21,8.25,17.438,14.75,74.438,17.125,73
167.25,2021,5,21,10,53.125,16.25,22.375,52.375,13.875,9.25
328.688,2021,6,17,23,84.875,22.75,14.938,0,200.125,6
56.751,2021,6,12,4,4,8.375,2.563,0,38.063,3.75
35.501,2021,6,12,13,3.625,8.438,5.625,2.563,11.25,4
311.251,2021,6,1,12,52.625,31.813,38.875,160.438,21.25,6.25
77.251,2021,6,12,9,7.75,12.438,4.375,9.688,37.75,5.25
328.688,2021,6,15,19,84.875,22.75,14.938,0,200.125,6
6.938,2021,6,4,5,1.75,1.188,4,0,0,0
244.251,2021,6,8,10,66.875,18.438,17.563,118.75,15.875,6.75
140.001,2021,6,6,13,3.875,21.188,5.5,88.938,15,5.5
157.001,2021,6,8,0,71,15.313,4.313,35.75,24.625,6
121.501,2021,5,29,7,9.25,8.688,5.25,71.875,20.438,6
131.251,2021,5,24,19,5.625,21.188,13.375,59.438,25.375,6.25
231.251,2021,6,2,9,85.375,15.125,17.063,60.813,46.625,6.25
310.501,2021,6,4,12,63.75,33.063,36.125,145.563,25.5,6.5
54.313,2021,6,12,15,6.375,12.563,4.875,0,24.75,5.75
328.688,2021,6,16,11,84.875,22.75,14.938,0,200.125,6
181.251,2021,6,8,23,88.375,17.813,5.25,46.688,17.375,5.75
80.501,2021,6,11,3,7,15.813,8.313,1.25,42.125,6
140.751,2021,6,6,6,8.375,11.5,6.188,87.563,20.875,6.25
286.251,2021,6,2,13,49.125,27.563,44.875,140.375,17.563,6.75
244.001,2021,5,27,8,30.375,15.563,14.438,123.25,20.375,40
328.688,2021,6,14,19,84.875,22.75,14.938,0,200.125,6
121.251,2021,6,5,14,8.375,12.5,8.313,60.063,25.75,6.25
